Name,Review Date,Airline,Verified,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended
Abhaya Ansel,8/27/2022,Singapore Airlines,TRUE,Family Leisure,22-Aug,Singapore to Melbourne,Economy Class,4,5,3,4,1,1,no
N Huang,8/25/2022,Singapore Airlines,TRUE,Couple Leisure,22-Aug,Denpasar to Singapore,Economy Class,5,1,1,4,1,1,no
Abby Webster,8/24/2022,Singapore Airlines,FALSE,Solo Leisure,22-Aug,Sydney to Munich via Singapore,Economy Class,5,5,1,5,1,1,no
Michiel Maaten,8/21/2022,Singapore Airlines,TRUE,Family Leisure,22-Aug,Singapore to Amsterdam,Business Class,5,5,4,4,5,10,yes
J Parnile,8/19/2022,Singapore Airlines,TRUE,Solo Leisure,22-Aug,Bangkok to Singapore,Economy Class,4,4,4,3,5,10,yes
Andrew Guiver,8/14/2022,Singapore Airlines,TRUE,Couple Leisure,22-Jul,London Heahrow to Singapore,Economy Class,5,2,1,1,1,3,no
T Barden,8/10/2022,Singapore Airlines,TRUE,Business,22-Apr,Kolkata to Singapore,Economy Class,5,4,1,1,5,10,yes
T Barden,8/10/2022,Singapore Airlines,TRUE,Business,22-Mar,Jakarta to Kolkata via Singapore,Economy Class,3,4,3,3,5,9,yes
T Barden,8/10/2022,Singapore Airlines,TRUE,Solo Leisure,22-Jan,Frankfurt to Jakarta via Singapore,Economy Class,4,1,4,2,4,8,yes
C Sheale,8/6/2022,Singapore Airlines,TRUE,Solo Leisure,22-Aug,Istanbul to Bangkok via Singapore,Business Class,3,3,4,2,2,4,no
Kah Kay Au,8/4/2022,Singapore Airlines,TRUE,Solo Leisure,22-Jul,Bangkok to Singapore,Business Class,4,5,2,3,5,9,yes
Kah Kay Au,8/4/2022,Singapore Airlines,TRUE,Solo Leisure,22-Jul,Singapore to Phuket,Business Class,5,5,2,1,5,10,yes
Eleni Kallergi,7/29/2022,Singapore Airlines,TRUE,Solo Leisure,22-Jul,Brisbane to Singapore,Economy Class,1,3,4,3,4,5,no
Giao Duong,7/27/2022,Singapore Airlines,TRUE,Family Leisure,22-Jul,Singapore to Ho Chi Minh City,Economy Class,3,3,5,3,1,4,no
J Meares,7/26/2022,Singapore Airlines,FALSE,Solo Leisure,22-Apr,Istanbul to Auckland via Singapore,Economy Class,3,3,1,3,4,8,yes
Craig Cutts,7/23/2022,Singapore Airlines,TRUE,Solo Leisure,22-May,London to Bali via Singapore,Business Class,5,5,1,4,4,8,yes
E Gan,7/23/2022,Singapore Airlines,TRUE,Solo Leisure,22-Jul,Melbourne to Singapore,Economy Class,1,5,3,5,1,1,no
P Tarathong,7/18/2022,Singapore Airlines,TRUE,Solo Leisure,22-Jul,Sydney to Singapore,Economy Class,2,3,5,3,1,4,no
Robert Myers,7/18/2022,Singapore Airlines,TRUE,Couple Leisure,22-Jul,San Francisco to Phnom Penh via Singapore,Economy Class,3,1,1,3,5,6,yes
Tom Sutherland,7/13/2022,Singapore Airlines,TRUE,Business,22-Jul,Singapore to Melbourne,Business Class,5,5,1,5,4,9,yes
Michael Goczol,7/13/2022,Singapore Airlines,TRUE,Business,22-Jul,Singapore to Melbourne,Business Class,4,5,1,3,1,1,no
Michael Goczol,7/13/2022,Singapore Airlines,TRUE,Business,22-Jul,Munich to Singapore,Business Class,2,5,1,5,1,1,no
Mohammad Faizal,7/10/2022,Singapore Airlines,TRUE,Solo Leisure,22-Apr,singapore to sydney,Economy Class,2,1,5,5,1,2,no
Francis Wong,7/7/2022,Singapore Airlines,TRUE,Solo Leisure,22-Jun,Hong Kong to Singapore,Business Class,5,5,3,4,4,10,yes
T Morton,7/7/2022,Singapore Airlines,TRUE,Couple Leisure,22-Jun,Singapore to Siem Reap,Economy Class,5,5,2,5,4,9,yes
S Keale,7/6/2022,Singapore Airlines,TRUE,Solo Leisure,22-Jun,Phuket to San Francisco via Singapore,Business Class,2,2,5,1,3,6,no
Michael Goczol,7/2/2022,Singapore Airlines,TRUE,Family Leisure,22-Jun,Ho Chi Minh to Denpasar,Economy Class,2,3,1,4,1,2,no
G Yan,6/25/2022,Singapore Airlines,TRUE,Solo Leisure,22-Jun,London to Singapore,Economy Class,4,2,1,3,5,9,yes
Elaine Loh,6/22/2022,Singapore Airlines,TRUE,Family Leisure,22-Jun,Amsterdam to Singapore,Business Class,5,3,4,3,5,10,yes
John Wagner,6/19/2022,Singapore Airlines,TRUE,Solo Leisure,22-Jun,Hanoi to San Francisco via Singapore,Economy Class,2,5,1,3,4,4,no
P Larucci,6/17/2022,Singapore Airlines,TRUE,Business,22-Jun,Singapore to Dubai,Business Class,3,2,1,4,1,1,no
L Marston,6/14/2022,Singapore Airlines,FALSE,Solo Leisure,22-Jun,Newark to Ho Chi Minh City via Singapore,Business Class,2,5,1,4,4,7,yes
K Wong,6/12/2022,Singapore Airlines,TRUE,Family Leisure,22-May,Singapore to Sydney,Business Class,2,5,4,4,4,10,yes
E Barden,6/11/2022,Singapore Airlines,TRUE,Couple Leisure,22-Jun,London to Singapore,Economy Class,5,1,4,4,3,1,no
Suhail Kazim,6/8/2022,Singapore Airlines,TRUE,Family Leisure,21-Dec,Dubai to Bangkok via Singapore,Business Class,2,3,4,3,1,2,no
K Beele,6/6/2022,Singapore Airlines,TRUE,Solo Leisure,22-May,Phuket to London via Singapore,Economy Class,4,3,1,5,2,3,no
K Beele,6/6/2022,Singapore Airlines,TRUE,Solo Leisure,22-Apr,London to Bangkok via Singapore,Economy Class,5,1,2,3,2,3,no
T Carleno,6/1/2022,Singapore Airlines,TRUE,Solo Leisure,22-May,Singapore to Newark,Premium Economy,3,5,2,1,5,10,yes
K Pellberg,5/27/2022,Singapore Airlines,TRUE,Couple Leisure,22-May,Singapore to Phuket,Economy Class,3,2,5,4,2,2,no
Roger Stone,5/23/2022,Singapore Airlines,TRUE,Business,22-May,Brisbane to Munich via Singapore,Business Class,1,4,1,3,4,7,yes
C Garleno,5/22/2022,Singapore Airlines,TRUE,Solo Leisure,22-May,Newark to Singapore,Business Class,3,5,5,3,5,10,yes
Jia Yi Wong,5/14/2022,Singapore Airlines,TRUE,Couple Leisure,22-Mar,Singapore to Adelaide,Economy Class,1,3,5,5,1,1,no
Michael Goczol,5/13/2022,Singapore Airlines,TRUE,Business,22-Apr,Frankfurt to Ho Chi Minh City via Singapore,Business Class,2,1,4,5,1,2,no
M Meyer,5/11/2022,Singapore Airlines,TRUE,Couple Leisure,22-Apr,Auckland to Delhi,Premium Economy,5,5,2,5,1,3,yes
K Janaya,5/9/2022,Singapore Airlines,TRUE,Couple Leisure,22-May,Singapore to London,Economy Class,4,1,2,4,1,1,no
H Shin,5/8/2022,Singapore Airlines,TRUE,Solo Leisure,22-Apr,Sydney to Singapore,Economy Class,4,5,1,5,1,1,no
E Walker,5/4/2022,Singapore Airlines,TRUE,Couple Leisure,22-Apr,London to Auckland via Singapore,Economy Class,1,1,5,5,1,2,no
M Chan,5/4/2022,Singapore Airlines,FALSE,Solo Leisure,22-Apr,Paris to Phnom Penh via Singapore,Business Class,3,5,1,5,1,6,no
Maximillian Taylor,4/29/2022,Singapore Airlines,TRUE,Solo Leisure,22-Mar,London to Manila via Singapore,Economy Class,3,5,1,4,5,9,yes
C Larteso,4/29/2022,Singapore Airlines,TRUE,Solo Leisure,22-Jan,Singapore to Zürich,Economy Class,4,4,3,3,1,1,no
G Saran,4/28/2022,Singapore Airlines,TRUE,Couple Leisure,22-Apr,Kuala Lumpur to London via Singapore,Business Class,1,4,2,5,3,6,yes
Vu Dinh,4/23/2022,Singapore Airlines,TRUE,Solo Leisure,22-Mar,New York to Ho Chi Minh City via Singapore,Premium Economy,3,3,1,5,1,1,no
Trevor Roberts,4/19/2022,Singapore Airlines,TRUE,Couple Leisure,22-Apr,London to Manila via Singapore,Economy Class,5,1,1,3,1,1,no
Yuan Chen,4/18/2022,Singapore Airlines,TRUE,Business,22-Apr,Newark to Singapore,Business Class,5,5,1,4,1,1,no
Mike Marfatia,4/8/2022,Singapore Airlines,TRUE,Business,22-Apr,Paris to Singapore,Economy Class,4,4,3,5,1,1,no
M Ralten,4/7/2022,Singapore Airlines,TRUE,Solo Leisure,22-Feb,Amsterdam to Singapore,Economy Class,2,3,5,4,3,8,yes
Venkata Kamjula,4/6/2022,Singapore Airlines,TRUE,Couple Leisure,22-Apr,Melbourne to Singapore,Economy Class,3,4,3,4,2,1,no
Louis Desay,4/6/2022,Singapore Airlines,TRUE,Solo Leisure,22-Mar,Paris to Phuket via Singapore,Economy Class,4,4,5,4,3,1,no
R Martashan,4/5/2022,Singapore Airlines,TRUE,Solo Leisure,22-Apr,Sydney to Singapore,Economy Class,4,3,2,5,5,10,yes
C Han,4/2/2022,Singapore Airlines,TRUE,Couple Leisure,22-Mar,Singapore to San Francisco,Business Class,3,3,1,4,5,9,yes
M Richardson,3/26/2022,Singapore Airlines,FALSE,Couple Leisure,22-Mar,Manchester to Sydney via Singapore,Economy Class,2,4,1,3,5,7,yes
V Ellis,3/20/2022,Singapore Airlines,TRUE,Business,22-Mar,Melbourne to London via Singapore,Business Class,1,4,4,4,4,6,no
S Khee,3/12/2022,Singapore Airlines,TRUE,Solo Leisure,22-Mar,Singapore to Male,Economy Class,4,5,5,4,1,2,no
C Hoffmann,3/10/2022,Singapore Airlines,TRUE,Family Leisure,22-Mar,Munich to Singapore,Business Class,4,3,5,4,4,9,yes
tim irvin,2/24/2022,Singapore Airlines,TRUE,Solo Leisure,22-Feb,Singapore to Melbourne,Economy Class,5,5,3,5,4,6,yes
M Mahda,2/8/2022,Singapore Airlines,TRUE,Couple Leisure,22-Jan,Colombo to Sydney via Singapore,Economy Class,3,4,4,2,1,3,no
Kevin Bannon,1/25/2022,Singapore Airlines,TRUE,Family Leisure,21-Dec,Manchester to Bangkok via Singapore,Economy Class,5,2,5,5,1,1,no
D Barnesch,1/18/2022,Singapore Airlines,TRUE,Couple Leisure,21-Nov,San Francisco to Bangkok via Singapore,Economy Class,1,2,4,3,1,3,no
J Stern,1/14/2022,Singapore Airlines,FALSE,Couple Leisure,22-Jan,Melbourne to Manchester via Singapore,Economy Class,5,5,1,3,2,3,no
Goran Mils,1/12/2022,Singapore Airlines,TRUE,Family Leisure,21-Dec,Singapore to Sydney,Business Class,4,5,1,5,2,3,yes
Suhail Kazim,12/30/2021,Singapore Airlines,TRUE,Family Leisure,21-Dec,Dubai to Singapore,Business Class,4,5,4,4,2,4,no
Mohomed Hamza,12/28/2021,Singapore Airlines,TRUE,Couple Leisure,21-Dec,Sydney to Singapore,Economy Class,3,1,5,4,2,4,no
M Carter,12/24/2021,Singapore Airlines,TRUE,Couple Leisure,21-Nov,London to Singapore,Economy Class,5,3,2,1,1,2,no
Francis Wong,12/22/2021,Singapore Airlines,TRUE,Solo Leisure,21-Dec,Hong Kong to Singapore,Business Class,5,2,3,5,5,9,yes
Michael Schade,12/22/2021,Singapore Airlines,TRUE,Solo Leisure,21-Dec,Bangkok to Frankfurt via Singapore,Business Class,5,4,4,3,4,2,no
Kay Kay Au,12/17/2021,Singapore Airlines,TRUE,Solo Leisure,21-Dec,Singapore to Frankfurt,Business Class,1,4,5,4,5,10,yes
Phyllis Kaplan,12/3/2021,Singapore Airlines,TRUE,Solo Leisure,21-Dec,New York to Jakarta via Singapore,Business Class,4,5,5,3,3,5,no
T Ito,12/1/2021,Singapore Airlines,TRUE,Solo Leisure,21-Nov,New York JFK to Frankfurt,Business Class,1,3,4,3,5,10,yes
E Gartner,11/21/2021,Singapore Airlines,TRUE,Couple Leisure,21-Nov,Frankfurt to New York JFK,Business Class,5,3,4,3,3,7,yes
Walter Eigner,11/15/2021,Singapore Airlines,TRUE,Business,21-Nov,Bangkok to Sydney via Singapore,First Class,5,5,4,5,1,1,no
Clare Barnaby-Smith,10/17/2021,Singapore Airlines,TRUE,Solo Leisure,21-Oct,Jakarta to London via Singapore,Business Class,4,4,4,5,1,1,no
S Hanowsky,10/14/2021,Singapore Airlines,TRUE,Business,21-Sep,Bangkok to Los Angeles via Singapore,Economy Class,3,5,5,5,2,2,no
C Haemel,8/13/2021,Singapore Airlines,FALSE,Solo Leisure,21-Aug,Frankfurt to Bangkok via Singapore,Business Class,4,5,3,4,4,3,no
Paraic Garry,5/24/2021,Singapore Airlines,TRUE,Solo Leisure,21-May,Istanbul to Auckland via Singapore,Economy Class,5,5,3,3,1,1,no
James Gray,12/15/2020,Singapore Airlines,TRUE,Solo Leisure,20-Dec,London Heathrow to Christchurch via Singapore,Economy Class,4,5,3,4,4,10,yes
Siobhan Burgess,11/30/2020,Singapore Airlines,TRUE,Family Leisure,20-Nov,Bangkok to Los Angeles via Singapore,Economy Class,5,5,4,5,5,10,yes
T Wang,11/3/2020,Singapore Airlines,FALSE,Solo Leisure,19-Dec,Manchester to Cebu via Singapore,First Class,4,5,4,4,4,4,no
Martin Halshaw,10/17/2020,Singapore Airlines,TRUE,Solo Leisure,20-Oct,Melbourne to Manila via Singapore,Economy Class,4,5,1,5,1,1,no
C Parnelle,10/12/2020,Singapore Airlines,TRUE,Couple Leisure,20-Sep,Singapore to Hong Kong,Economy Class,5,4,5,5,1,1,no
H Halken,9/24/2020,Singapore Airlines,TRUE,Solo Leisure,20-Jan,Singapore to Zürich,Economy Class,3,5,1,4,4,8,yes
L Schulker,9/1/2020,Singapore Airlines,TRUE,Solo Leisure,20-Aug,Bangkok to Los Angeles,Economy Class,4,3,5,3,1,2,no
L Cooper,8/21/2020,Singapore Airlines,FALSE,Solo Leisure,19-Nov,Perth to Moscow via Singapore,First Class,4,5,1,2,4,4,no
Frances Jojart,8/15/2020,Singapore Airlines,TRUE,Couple Leisure,20-Aug,Sao Paulo to Dublin via Munich,Business Class,5,4,3,4,5,10,yes
David Reynolds,7/5/2020,Singapore Airlines,TRUE,Couple Leisure,19-Dec,Manchester to Houston,Economy Class,4,3,1,5,1,1,no
Alex Crane,6/29/2020,Singapore Airlines,TRUE,Solo Leisure,20-May,Osaka Kansai to Singapore,Economy Class,5,4,3,5,1,1,no
Bagus Ferriyanto,6/11/2020,Singapore Airlines,TRUE,Solo Leisure,20-Mar,Bali Denpasar to Tokyo Narita via Singapore,Economy Class,4,5,1,5,5,9,yes
Bagus Ferriyanto,6/10/2020,Singapore Airlines,FALSE,Solo Leisure,20-Mar,Singapore to Taipei,Economy Class,4,4,4,4,5,8,yes
David Liu,5/29/2020,Singapore Airlines,TRUE,Family Leisure,19-Dec,Amsterdam to Sydney via Singapore,Economy Class,3,5,3,3,4,8,yes
I Darnen,5/18/2020,Singapore Airlines,TRUE,Couple Leisure,20-Mar,Singapore to Nagoya,Economy Class,1,4,4,5,1,1,no
S Tan,4/25/2020,Singapore Airlines,TRUE,Solo Leisure,19-May,Osaka to Bangkok via Singapore,Economy Class,4,5,2,2,3,3,no
S Hakeeren,4/4/2020,Singapore Airlines,TRUE,Solo Leisure,20-Mar,Da Nang to Perth via Singapore,Economy Class,5,1,3,5,1,1,no
G Varden,4/3/2020,Singapore Airlines,FALSE,Solo Leisure,20-Mar,Penang to Manchester via Singapore,Economy Class,2,3,1,5,1,1,no
David Pickles,4/2/2020,Singapore Airlines,FALSE,Family Leisure,20-Mar,Manila to Kuala Lumpur via Singapore,Economy Class,5,5,5,5,1,1,no
Pail Habaradas,3/31/2020,Singapore Airlines,FALSE,Family Leisure,19-Jun,Melbourne to Koh Samui via Singapore,Economy Class,1,2,5,3,3,10,yes
Catherine Schneider,3/29/2020,Singapore Airlines,TRUE,Couple Leisure,20-Mar,Bangkok to Frankfurt,Economy Class,5,5,4,5,1,1,no
B Thomas,3/29/2020,Singapore Airlines,TRUE,Business,19-Nov,Melbourne to Singapore,Business Class,1,3,2,5,1,1,no
Larry Reed,3/26/2020,Singapore Airlines,TRUE,Couple Leisure,20-Mar,Jakarta to Singapore,Premium Economy,1,5,3,5,3,9,yes
C Gwee,3/23/2020,Singapore Airlines,FALSE,Business,20-Mar,Auckland to Zurich via Singapore,Economy Class,4,5,5,5,3,10,no
Malcolm Henderson,3/23/2020,Singapore Airlines,TRUE,Couple Leisure,20-Mar,Tokyo Haneda to Melbourne via Singapore,Economy Class,3,5,4,5,4,9,yes
Michael Little,3/23/2020,Singapore Airlines,TRUE,Solo Leisure,20-Mar,Singapore to New York,Business Class,5,4,5,3,4,9,yes
E Gausev,3/18/2020,Singapore Airlines,TRUE,Solo Leisure,20-Jan,Zurich to Melbourne via Singapore,Economy Class,4,3,5,5,2,1,no
Andre Kyburz,3/18/2020,Singapore Airlines,TRUE,Family Leisure,20-Mar,Adelaide to Singapore,Economy Class,4,1,5,5,5,1,no
S Kaurlinas,3/12/2020,Singapore Airlines,TRUE,Business,19-Apr,Bangkok to Makassar via Singapore,Economy Class,3,5,5,5,1,1,no
W Manarlo,3/7/2020,Singapore Airlines,TRUE,Family Leisure,20-Feb,Makassar to Bangkok via Singapore,Economy Class,3,5,4,4,5,9,yes
W Manarlo,3/7/2020,Singapore Airlines,FALSE,Family Leisure,20-Feb,Sydney to Singapore,Economy Class,4,4,3,5,5,8,yes
Carmen Dellavalle,3/6/2020,Singapore Airlines,TRUE,Solo Leisure,20-Mar,Phuket to Singapore,Economy Class,3,3,2,4,4,9,yes
Phil Neo,3/2/2020,Singapore Airlines,TRUE,Solo Leisure,20-Mar,Ahmedabad to San Francisco via Singapore,Economy Class,5,2,4,5,5,10,yes
D Kardit,2/28/2020,Singapore Airlines,TRUE,Solo Leisure,20-Feb,Singapore to Bangkok,Economy Class,5,5,4,4,3,5,yes
S Wademaris,2/27/2020,Singapore Airlines,TRUE,Solo Leisure,20-Feb,Los Angeles to Singapore,Business Class,5,1,5,4,4,7,no
S Wademaris,2/27/2020,Singapore Airlines,TRUE,Solo Leisure,20-Feb,Singapore to Zurich,Business Class,4,5,4,5,4,6,no
K Borgsen,2/27/2020,Singapore Airlines,FALSE,Business,20-Feb,Singapore to Johannesburg,Economy Class,2,5,2,3,1,1,no
Ken Howie,2/26/2020,Singapore Airlines,TRUE,Couple Leisure,20-Jan,Singapore to Los Angeles,Premium Economy,3,5,3,4,4,7,yes
Wanderlust Mike,2/25/2020,Singapore Airlines,TRUE,Couple Leisure,20-Feb,Brisbane to Singapore,Premium Economy,4,5,4,1,5,10,yes
K Geelen,2/25/2020,Singapore Airlines,TRUE,Couple Leisure,20-Feb,Singapore to Amsterdam,Economy Class,5,2,1,4,3,4,no
Elaine Loh,2/23/2020,Singapore Airlines,TRUE,Family Leisure,19-Dec,Los Angeles to Colombo via Singapore,Business Class,5,3,1,3,4,10,yes
N Ganakaya,2/23/2020,Singapore Airlines,TRUE,Couple Leisure,20-Feb,Jakarta to Singapore,Business Class,5,4,5,5,1,3,no
H Pardeny,2/22/2020,Singapore Airlines,TRUE,Solo Leisure,20-Jan,Melbourne to Singapore,Economy Class,5,5,3,4,4,9,yes
Donny Lim,2/22/2020,Singapore Airlines,TRUE,Solo Leisure,20-Jan,Siem Reap to Kolkata via Singapore,Economy Class,4,5,5,4,1,1,no
D Parjeni,2/21/2020,Singapore Airlines,FALSE,Couple Leisure,19-Nov,Manila to London via Singapore,Economy Class,2,5,4,4,1,1,no
Stephen Clarke,2/20/2020,Singapore Airlines,TRUE,Couple Leisure,20-Feb,Los Angeles to Tokyo,Economy Class,3,3,5,4,4,9,yes
S Barter,2/13/2020,Singapore Airlines,TRUE,Couple Leisure,20-Feb,Brisbane to Ho Chi Minh via Singapore,Premium Economy,3,5,3,4,2,3,no
Vu Nguyen,2/13/2020,Singapore Airlines,TRUE,Couple Leisure,20-Feb,Copenhagen to Denpasar via Singapore,Economy Class,4,4,4,1,5,9,yes
J Guldborg,2/10/2020,Singapore Airlines,TRUE,Couple Leisure,20-Feb,Jakarta to Seoul Incheon via Singapore,Economy Class,4,5,4,4,2,3,no
I Banalong,2/10/2020,Singapore Airlines,TRUE,Solo Leisure,20-Jan,Ho Chi Minh City to Los Angeles via Singapore,Economy Class,5,1,5,4,5,9,yes
S Harker,2/5/2020,Singapore Airlines,TRUE,Couple Leisure,19-Nov,Busan to Singapore,Business Class,3,4,3,5,3,1,yes
Teng Yong Khoo,2/4/2020,Singapore Airlines,TRUE,Family Leisure,20-Feb,"Los Angeles to Jakarta via Tokyo, Singapore",Economy Class,5,5,5,2,4,7,yes
S Maksin,2/3/2020,Singapore Airlines,TRUE,Solo Leisure,19-Dec,Singapore to Sydney,Economy Class,3,4,5,4,4,6,yes
W Teale,1/26/2020,Singapore Airlines,TRUE,Solo Leisure,19-Dec,Bangkok to Singapore,Economy Class,5,4,5,2,1,1,no
D Haloud,1/20/2020,Singapore Airlines,TRUE,Family Leisure,20-Jan,Denpasar to Singapore,Business Class,2,5,1,3,1,5,no
Avneel Abhishay,1/17/2020,Singapore Airlines,TRUE,Family Leisure,20-Jan,Paris  to Singapore,Economy Class,2,4,5,4,5,10,yes
S Green,1/17/2020,Singapore Airlines,TRUE,Family Leisure,19-Dec,Singapore to Perth,Premium Economy,4,5,1,4,3,8,yes
Ayda Pirany,1/16/2020,Singapore Airlines,TRUE,Family Leisure,20-Jan,Sydney to Singapore,Economy Class,5,5,1,4,1,1,no
Matthew Smith,1/15/2020,Singapore Airlines,FALSE,Couple Leisure,19-Nov,Singapore to Frankfurt,Economy Class,4,5,2,5,3,2,no
Michael Schade,1/13/2020,Singapore Airlines,TRUE,Solo Leisure,19-Dec,Singapore to Brisbane,Premium Economy,4,5,5,4,5,5,yes
Michele James,1/12/2020,Singapore Airlines,TRUE,Couple Leisure,20-Jan,San Francisco to Kolkata via Singapore,Economy Class,4,5,2,4,5,10,yes
Kamalini Mukherji,1/10/2020,Singapore Airlines,TRUE,Solo Leisure,19-Nov,Perth to Hanoi via Singapore,Premium Economy,5,5,5,5,4,5,yes
S Pardell,1/9/2020,Singapore Airlines,TRUE,Couple Leisure,20-Jan,Singapore to London Heathrow,Business Class,5,5,1,4,5,10,yes
Ethan Phua,1/8/2020,Singapore Airlines,TRUE,Family Leisure,19-Dec,London to Singapore,Business Class,5,4,3,3,5,9,yes
Amanda Edgar,1/7/2020,Singapore Airlines,TRUE,Couple Leisure,19-Dec,Istanbul to Denpasar via Singapore,First Class,4,5,4,5,5,10,yes
Keith Hardy,1/7/2020,Singapore Airlines,TRUE,Family Leisure,20-Jan,Singapore to Moscow,Business Class,5,4,4,3,5,9,yes
Wai Hoong How Yong,1/4/2020,Singapore Airlines,TRUE,Couple Leisure,20-Jan,Singapore to Newark,Economy Class,5,1,2,3,4,7,no
F Darlen,1/3/2020,Singapore Airlines,TRUE,Couple Leisure,19-Dec,Auckland to Singapore,Premium Economy,5,5,5,5,3,6,no
D Bolt,1/1/2020,Singapore Airlines,TRUE,Couple Leisure,19-Dec,Singapore to Perth,Premium Economy,1,2,4,5,3,6,yes
C Hoffmann,12/30/2019,Singapore Airlines,TRUE,Family Leisure,19-Jul,Munich to Singapore,Economy Class,5,5,1,1,4,8,yes
C Hoffmann,12/29/2019,Singapore Airlines,TRUE,Family Leisure,19-Jul,Perth to Singapore,Economy Class,2,3,3,1,4,8,yes
Elaine Loh,12/28/2019,Singapore Airlines,TRUE,Family Leisure,19-Dec,Perth to Singapore,Business Class,4,5,3,5,4,9,yes
C Hoffmann,12/27/2019,Singapore Airlines,TRUE,Family Leisure,19-Jul,Singapore to Bali,Economy Class,2,4,4,4,4,7,yes
Doug Dumpa,12/26/2019,Singapore Airlines,TRUE,Solo Leisure,19-Dec,London to Hong Kong via Singapore,Economy Class,4,5,4,4,5,8,yes
Geert Renmans,12/24/2019,Singapore Airlines,TRUE,Family Leisure,19-Dec,Singapore to Dubai,Economy Class,5,5,5,2,3,7,yes
R Margathan,12/20/2019,Singapore Airlines,TRUE,Family Leisure,19-Dec,Sapporo to Singapore,Economy Class,3,5,1,4,5,10,yes
M Han,12/17/2019,Singapore Airlines,TRUE,Family Leisure,19-Dec,Colombo to Sydney via Singapore,Economy Class,4,1,5,3,1,3,no
N Bayne,12/16/2019,Singapore Airlines,FALSE,Couple Leisure,19-Dec,Melbourne to Coimbatore via Singapore,Economy Class,1,5,1,4,3,3,no
Prem Rajasekaran,12/16/2019,Singapore Airlines,TRUE,Family Leisure,19-Nov,Johannesburg to Singapore,Economy Class,4,5,3,2,1,2,no
Ken Howie,12/12/2019,Singapore Airlines,TRUE,Couple Leisure,19-Dec,Jakarta to Munich via Singapore,Premium Economy,5,1,4,4,4,8,yes
Adi Satriyo,12/11/2019,Singapore Airlines,TRUE,Solo Leisure,19-Nov,Sydney to Frankfurt via Singapore,Economy Class,5,5,1,4,5,9,yes
Andre Moreitz,12/9/2019,Singapore Airlines,FALSE,Family Leisure,19-Dec,Singapore to Perth,Economy Class,4,1,2,4,4,8,yes
Elaine Loh,12/4/2019,Singapore Airlines,TRUE,Business,19-Dec,New York JFK to Singapore via Frankfurt,Business Class,5,4,4,5,4,8,yes
J Horace Pacis,12/3/2019,Singapore Airlines,TRUE,Solo Leisure,19-Nov,Singapore to Tokyo,Premium Economy,4,4,5,5,5,8,yes
L Tran,12/2/2019,Singapore Airlines,TRUE,Solo Leisure,19-Nov,Shanghai to Singapore,Business Class,4,5,3,5,5,9,yes
L Tran,12/2/2019,Singapore Airlines,TRUE,Solo Leisure,19-Nov,Shanghai to Singapore,First Class,3,1,2,4,5,10,yes
Ethan Phua,12/2/2019,Singapore Airlines,TRUE,Family Leisure,19-Nov,Singapore to Kuala Lumpur,Economy Class,1,5,5,5,5,10,yes
Elaine Loh,12/2/2019,Singapore Airlines,TRUE,Business,19-Dec,Amsterdam to Singapore,Economy Class,4,3,5,5,5,9,yes
Elaine Loh,12/1/2019,Singapore Airlines,FALSE,Business,19-Nov,Bangkok to Singapore,Business Class,2,2,4,5,4,9,yes
E Shafer,11/30/2019,Singapore Airlines,TRUE,Couple Leisure,19-Nov,Johannesburg to Christchurch via Singapore,Economy Class,5,5,1,5,1,1,no
Marlene Kruger,11/28/2019,Singapore Airlines,TRUE,Couple Leisure,19-Oct,Delhi to Cairns via Singapore,Economy Class,1,4,4,5,5,10,yes
